# STATION: KSBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# STATION NAME: Santa Barbara, Santa Barbara Municipal Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LATITUDE: 34.42611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LONGITUDE: -119.84361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ELEVATION [ft]: 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# STATE: CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,Pascals,Celsius,Celsius,%,m/s,Degrees,m/s,Pascals,code,code,code,Millimeters,Millimeters,code,code,Millimeters,Millimeters,Statute miles,text,text,Celsius,Celsius,m/s,Meters,code,Celsius,Celsius,Degrees,Celsius,Celsius,Code,Pascals,Pascals
KSBA,03/31/2019 01:40 UTC,101591.61,22,,43.48,1.54,300,,,,,,,,1,,,,10,,METAR KSBA 310140Z AUTO 30003KT 10SM CLR 22/09 A3000,,,,,,,,,8.97,,WNW,101555.71,101591.54
KSBA,03/31/2019 01:45 UTC,101591.61,22,,43.48,2.06,330,,,,,,,,1,,,,10,,METAR KSBA 310145Z AUTO 33004KT 10SM CLR 22/09 A3000,,,,,,,,,8.97,,NNW,101555.71,101591.54
KSBA,03/31/2019 01:50 UTC,101591.61,22,,40.63,1.54,310,,,,,,,,1,,,,10,,METAR KSBA 310150Z AUTO 31003KT 10SM CLR 22/08 A3000,,,,,,,,,7.97,,NW,101555.71,101591.54
KSBA,03/31/2019 01:53 UTC,101591.61,22.2,8.3,40.97,3.6,330,,101580,,,,,,1,,,,10,,METAR KSBA 310153Z 33007KT 10SM CLR 22/08 A3000 RMK AO2 SLP158 T02220083,,,,,,,,,8.27,,NNW,101555.71,101591.52
KSBA,03/31/2019 01:55 UTC,101591.61,22,,40.63,3.09,330,,,,,,,,1,,,,10,,METAR KSBA 310155Z AUTO 33006KT 10SM CLR 22/08 A3000,,,,,,,,,7.97,,NNW,101555.71,101591.54
KSBA,03/31/2019 02:00 UTC,101591.61,21,,43.19,3.09,330,,,,,,,,1,,,,10,,METAR KSBA 310200Z AUTO 33006KT 10SM CLR 21/08 A3000,,,,,,,,,7.96,,NNW,101555.71,101591.66
KSBA,03/31/2019 02:05 UTC,101591.61,21,,43.19,4.12,310,,,,,,,,1,,,,10,,METAR KSBA 310205Z AUTO 31008KT 10SM CLR 21/08 A3000,,,,,,,,,7.96,,NW,101555.71,101591.66
KSBA,03/31/2019 02:10 UTC,101591.61,21,,43.19,2.57,330,,,,,,,,1,,,,10,,METAR KSBA 310210Z AUTO 33005KT 10SM CLR 21/08 A3000,,,,,,,,,7.96,,NNW,101555.71,101591.66
KSBA,03/31/2019 02:15 UTC,101591.61,21,,43.19,3.6,10,,,,,,,,1,,,,10,,METAR KSBA 310215Z AUTO 01007KT 10SM CLR 21/08 A3000,,,,,,,,,7.96,,N,101555.71,101591.66
KSBA,03/31/2019 02:20 UTC,101591.61,21,,43.19,4.63,20,,,,,,,,1,,,,10,,METAR KSBA 310220Z AUTO 02009KT 10SM CLR 21/08 A3000,,,,,,,,,7.96,,NNE,101555.71,101591.66
KSBA,03/31/2019 02:25 UTC,101591.61,21,,43.19,2.57,40,,,,,,,,1,,,,10,,METAR KSBA 310225Z AUTO 04005KT 10SM CLR 21/08 A3000,,,,,,,,,7.96,,NE,101555.71,101591.66
KSBA,03/31/2019 02:30 UTC,101591.61,20,,45.93,2.57,40,,,,,,,,1,,,,10,,METAR KSBA 310230Z AUTO 04005KT 10SM CLR 20/08 A3000,,,,,,,,,7.95,,NE,101555.71,101591.79
KSBA,03/31/2019 02:35 UTC,101591.61,19,,48.87,3.09,30,,,,,,,,1,,,,10,,METAR KSBA 310235Z AUTO 03006KT 10SM CLR 19/08 A3000,,,,,,,,,7.95,,NNE,101555.71,101591.91
KSBA,03/31/2019 02:40 UTC,101557.75,19,,48.87,2.57,40,,,,,,,,1,,,,10,,METAR KSBA 310240Z AUTO 04005KT 10SM CLR 19/08 A2999,,,,,,,,,7.95,,NE,101521.86,101558.05
KSBA,03/31/2019 02:45 UTC,101591.61,19,,48.87,1.54,70,,,,,,,,1,,,,10,,METAR KSBA 310245Z AUTO 07003KT 10SM CLR 19/08 A3000,,,,,,,,,7.95,,ENE,101555.71,101591.91
KSBA,03/31/2019 02:50 UTC,101591.61,19,,48.87,2.06,80,,,,,,,,1,,,,10,,METAR KSBA 310250Z AUTO 08004KT 10SM CLR 19/08 A3000,,,,,,,,,7.95,,E,101555.71,101591.91
KSBA,03/31/2019 02:53 UTC,101591.61,19.4,8.3,48.65,1.54,70,,101580,,,7004,,,1,,,,10,,METAR KSBA 310253Z 07003KT 10SM CLR 19/08 A3000 RMK AO2 SLP158 T01940083  57004,,,,,,,,,8.25,,ENE,101555.71,101591.86
KSBA,03/31/2019 02:55 UTC,101591.61,19,,48.87,1.54,70,,,,,,,,1,,,,10,,METAR KSBA 310255Z AUTO 07003KT 10SM CLR 19/08 A3000,,,,,,,,,7.95,,ENE,101555.71,101591.91
KSBA,03/31/2019 03:00 UTC,101557.75,19,,48.87,3.09,60,,,,,,,,1,,,,10,,METAR KSBA 310300Z AUTO 06006KT 10SM CLR 19/08 A2999,,,,,,,,,7.95,,ENE,101521.86,101558.05
KSBA,03/31/2019 03:05 UTC,101557.75,18,,52.03,3.6,50,,,,,,,,1,,,,10,,METAR KSBA 310305Z AUTO 05007KT 10SM CLR 18/08 A2999,,,,,,,,,7.95,,NE,101521.86,101558.17
KSBA,03/31/2019 03:10 UTC,101557.75,18,,52.03,5.14,30,,,,,,,,1,,,,10,,METAR KSBA 310310Z AUTO 03010KT 10SM CLR 18/08 A2999,,,,,,,,,7.95,,NNE,101521.86,101558.17
KSBA,03/31/2019 03:15 UTC,101557.75,19,,48.87,4.12,30,,,,,,,,1,,,,10,,METAR KSBA 310315Z AUTO 03008KT 10SM CLR 19/08 A2999,,,,,,,,,7.95,,NNE,101521.86,101558.05
KSBA,03/31/2019 03:20 UTC,101557.75,19,,48.87,3.6,20,,,,,,,,1,,,,10,,METAR KSBA 310320Z AUTO 02007KT 10SM CLR 19/08 A2999,,,,,,,,,7.95,,NNE,101521.86,101558.05
